CLAVE,MUNICIPIO,PERIODO1,PERIODO2,PERIODO3,PERIODO4,PERIODO5,PERIODO6,PERIODO7,PERIODO8,PERIODO9
1,APOZOL,3,3,0,1,1,3,3,3,1
2,APULCO,0,3,3,1,1,1,1,1,3
3,ATOLINGA,3,3,2,0,3,1,3,2,2
4,BENITO JUAREZ,3,3,3,1,2,0,1,1,2
5,CALERA,3,2,3,2,1,2,1,1,2
6,CAÑITAS DE FELIPE PESCADOR,3,3,3,1,3,2,3,0,3
7,CONCEPCIÓN DEL ORO,3,3,0,1,2,3,1,3,0
8,CUAUHTEMOC,3,3,3,3,3,1,1,3,1
9,CHALCHIHUITES,3,3,0,3,3,1,1,1,0
10,FRESNILLO,0,0,3,0,3,1,3,1,2
11,TRINIDAD GARCÍA DE LA CADENA,0,3,3,1,1,1,1,2,0
12,GENARO CODINA ,3,0,3,2,3,1,2,3,2
13,GENERAL ENRIQUE ESTRADA,3,0,3,2,1,2,3,3,2
14,GENERAL FRANCISCO R. MURGUÍA,0,3,3,3,1,1,1,3,2
15,EL PLATEADO JOAQUIN AMARO,0,0,2,0,1,2,1,3,3
16,GENERAL PANFILO NATERA,3,3,2,0,1,1,1,3,2
17,GUADALUPE,0,0,3,0,1,1,2,1,1
18,HUANUSCO,0,3,3,3,3,1,2,1,0
19,JALPA,3,3,0,2,2,3,1,2,2
20,JEREZ,3,3,2,2,2,2,2,2,3
21,JIMENEZ DEL TEUL ,0,0,2,2,2,2,1,2,1
22,JUAN ALDAMA ,3,3,3,0,3,3,2,3,2
23,JUCHIPILA,3,3,3,3,3,2,1,3,3
24,LORETO ,0,3,2,3,3,3,0,3,3
25,LUIS MOYA ,0,0,1,3,3,3,2,3,1
26,MAZAPIL ,0,3,3,1,1,1,3,0,0
27,MELCHOR OCAMPO ,0,0,0,2,1,0,3,0,0
28,MEZQUITAL DEL ORO ,3,3,3,2,1,0,1,3,0
29,MIGUEL AUZA,3,3,1,3,3,3,1,1,1
30,MOMAX,0,3,3,0,3,1,1,3,0
31,MONTE ESCOBEDO ,3,3,3,2,3,2,3,1,0
32,MORELOS,0,3,3,2,3,3,0,2,2
33,MOYAHUA DE ESTRADA,0,3,0,2,3,2,1,3,1
34,NOCHISTLAN DE MEJIA,3,3,1,3,3,3,1,1,1
35,NORIA DE ANGELES,0,3,3,1,1,1,1,1,3
36,OJOCALIENTE,3,3,1,2,2,2,2,1,3
37,PANUCO ,3,3,2,3,3,1,3,2,1
38,PINOS,0,1,1,1,1,1,1,0,3
39,RÍO GRANDE,0,3,3,2,3,2,1,1,3
40,SAIN ALTO ,0,0,2,2,1,2,2,1,3
41,EL SALVADOR,0,3,1,0,3,1,1,0,0
42,SOMBRERETE,3,3,3,1,2,0,3,0,2
43,SUSTICACAN ,0,3,3,1,1,3,1,2,0
44,TABASCO ,3,3,3,3,1,0,1,3,3
45,TEPECHITLAN ,0,0,2,2,1,2,2,3,2
46,TEPETONGO ,0,0,0,1,1,1,1,1,2
47,TEUL DE GONZALEZ ORTEGA,0,3,1,2,2,2,1,3,0
48,TLALTENANGO DE SANCHEZ ROMAN ,0,0,3,0,3,2,1,1,2
49,VALPARAISO ,0,0,2,2,2,2,2,1,2
50,VETAGRANDE,0,3,3,3,3,1,2,3,3
51,VILLA DE COS,3,3,3,0,3,1,2,3,1
52,VILLA GARCÍA,3,0,3,1,1,3,3,1,3
53,VILLA GONZALEZ ORTEGA,0,3,3,3,3,2,1,1,3
54,VILLA HIDALGO ,0,3,2,2,2,2,1,1,3
55,VILLANUEVA,3,2,1,2,1,2,2,3,1
56,ZACATECAS,0,0,3,2,1,3,1,1,2
57,TRANCOSO,0,3,3,3,2,0,3,3,0
58,SANTA MARIA DE LA PAZ,0,0,0,3,1,0,1,1,3
